"";"Balanco em 24 horas (mm)";"Balanco em 7 dias (mm)";"Balanco em 14 dias (mm)";"Balanco em 28 dias (mm)"
"sem_código_ALERTA_CPRM_VELHAS";18,879775;43,4432;57,0977;38,367475
"sem_código_ALERTA_CPRM_XÍNGU";10,119375;28,2332;71,2507;82,15025
"sem_código_Alto_Solimoes";0,623125;29,351575;54,72245;101,403575
"sem_código_Bacia_do_rio_Madeira";2,032925;16,008225;40,141325;68,59935
"sem_código_biomaPantanal";11,8818;28,369225;25,950425;0,922974999999994
"sem_código_LIM_Semiarido_OFICIAL_POLIGONAL";9,409625;13,990625;27,435375;3,58525
"sem_código_Medio_baixo_Solimoes";0,827525;28,920225;70,71775;135,483625
"sem_código_portomurtinho_FB";7,273175;16,94655;19,773225;-9,586125
"sem_código_REDE_Codigo_20";21,127825;51,014925;98,840325;102,09885
"sem_código_REDE_Codigo_21";6,73005;8,4435;27,3978;10,325
"sem_código_REDE_Codigo_22";12,3978;26,6982;30,9048;34,242
"sem_código_REDE_Codigo_23";21,979425;54,19245;52,829975;66,173225
"sem_código_REDE_Codigo_24";5,706975;26,82735;78,7282;61,272775
"sem_código_REDE_Codigo_25";13,6802;34,207225;87,301225;76,919475
"sem_código_REDE_Codigo_26";10,59745;23,860825;56,16205;41,650525
"sem_código_REDE_Codigo_27";24,600325;48,406025;55,870925;57,291
"sem_código_REDE_Codigo_28";28,66205;48,7636;56,5318;68,071475
"sem_código_REDE_Codigo_29";4,867375;27,1073;33,2209;29,948125
"sem_código_REDE_Codigo_40";6,86185;40,0333;73,0142;79,6463
"sem_código_REDE_Codigo_41";15,436225;37,045125;55,40375;36,05075
"sem_código_REDE_Codigo_42";16,123875;28,477475;78,399225;59,85665
"sem_código_REDE_Codigo_43";9,04205;20,380225;68,36745;46,6541
"sem_código_REDE_Codigo_44";3,380375;6,392475;46,904675;14,657575
"sem_código_REDE_Codigo_45";3,21;7,334;24,613375;2,49885
"sem_código_REDE_Codigo_53";2,41565;-9,261225;42,708925;6,78517500000001
"sem_código_REDE_Codigo_54";14,8081;15,644875;68,04855;34,375775
"sem_código_REDE_Codigo_55";7,290575;-2,453025;13,79405;-17,42755
"sem_código_REDE_Codigo_56";5,8162;23,725625;40,44975;19,7154
"sem_código_REDE_Codigo_57";3,923625;19,54055;27,126225;25,325375
"sem_código_REDE_Codigo_58";1,91445;14,382225;29,910125;28,32545
"sem_código_REDE_Codigo_59";-2,115275;-4,518375;-1,11667499999999;7,8715
"sem_código_REDE_Codigo_60";5,427075;21,856275;52,688425;39,39595
"sem_código_REDE_Codigo_61";0,159975;9,036275;31,37125;38,726275
"sem_código_sureg-pa";-2,5523;-5,477775;-6,63275;20,6447
