"Codigo";"Latitude";"Longitude";"Area";"Nome";"Horario_Brasilia";"Horario_Rondonia";"Horario_Acre";"Nivel_Atual";"Var_Nivel_24";"Var_Nivel_7d";"Var_Nivel_14d";"Var_Nivel_21d";"Acum_Chuva_24";"Acum_Chuva_96";"Rio";"Passado";"C_Max";"Ano_Max";"Mediana";"Minima_Dia";"Maxima_Dia";"Percentil";"SPI";"Atencao";"Alerta";"Inunda";"Status"
18700000;-4,528;-54,013;122000;"Pedra do Ó";2025-09-06 04:30:00;2025-09-06 03:30:00;2025-09-06 02:30:00;291;0;-7;-12;-21;0;0;"IRIRI";;;"1980";308;281;342;"10%-20%";;;;;
18850000;-3,215;-52,212;448000;"ALTAMIRA";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;600;-5;-29;;;2,2;2,2;"XINGU";369;;"1980";255;100;658;"90%-100%";;;;;
18936000;-2,882;-52,011;714;"VITÓRIA DO XINGU";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;243;-3;43;;;0;0;"TUCURUI";77;;"2022";148;92;233;"100%-Máxima";;;;;
18938001;-2,622;-51,954;486000;"SOUZEL";2025-09-12 19:15:00;2025-09-12 18:15:00;2025-09-12 17:15:00;372;-2;37;;;0,2;0,2;"XINGU";240;;"2021";314;249;356;"100%-Máxima";;;;;
18950003;-1,753;-52,24;509000;"PORTO DE MOZ";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;300;-1;4;;;0;0;"XINGU";164;;"2009";247;91;352;"80%-90%";;;;;
19500000;0,022;-51,05;5930000;"MACAPÁ";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;438;-6;185;78;120;0;0;"SOLIMÕES";;;"2007";290;160;435;"100%-Máxima";;;;;
19985000;-3,851;-50,64;2682;"PACAJÁS";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;394;-2;-12;-19;-36;0;0;"PACAJÁS";365;;"2006";399;294;458;"40%-50%";;;;;
21500000;-13,763;-46,838;22600;"Nova Roma";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;53;1;-1;-3;-7;0;0;"PARANÃ";;;"1990";68,5;46;115;"0%-10%";;;;;
22050001;-12,023;-48,533;128000;"Peixe";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;145;-8;-6;-52;-2;0;0;"TOCANTINS";;;"1980";200;40;331;"10%-20%";;;;;
22100000;-12,392;-48,712;8720;"Colonha";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;152;0;-2;-6;-10;0;0;"SANTA TEREZA";;;"1980";161;118;228;"20%-30%";;550;600;700;"Normal"
22250000;-11,533;-48,289;14500;"Fazenda Lobeira";2025-09-12 18:45:00;2025-09-12 17:45:00;2025-09-12 16:45:00;18;-1;-10;;-11;0;0;"MANUEL ALVES";;;"1980";48;30;72;"Mínima-0%";;;;;
22900000;-9,307;-47,929;44100;"Porto Real";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;13;0;0;-1;-6;0;0;"DO SONO";;;"1980";60;9;404;"0%-10%";;;;;
23100000;-8,392;-48,111;242000;"Tupiratins";2025-09-12 18:30:00;2025-09-12 17:30:00;2025-09-12 16:30:00;110;-12;14;-12;14;0;0;"TOCANTINS";;;"1980";105;30;201;"50%-60%";;;;;
23700000;-5,789;-47,469;297000;"Descarreto";2025-09-12 18:15:00;2025-09-12 17:15:00;2025-09-12 16:15:00;77;0;0;-7;-11;0;0;"TOCANTINS";;;"1980";89;58;131;"10%-20%";;;;;
24700000;-15,891;-52,228;36800;"Barra do Garças";2025-09-12 07:30:00;2025-09-12 06:30:00;2025-09-12 05:30:00;78;-2;-6;-9;-12;0;0;"ARAGUAIA";;;"1977";80;10;363;"40%-50%";;;;;
24850000;-15,738;-51,828;50100;"Araguaiana";2025-08-25 07:00:00;2025-08-25 06:00:00;2025-08-25 05:00:00;146;-1;-6;-9;-13;0;0;"ARAGUAIA";;;"1977";149;57;350;"40%-50%";;;;;
25200000;-14,913;-51,081;76300;"Aruanã";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;105;-2;-4;-10;-17;0;0;"ARAGUAIA";;;"1993";132,5;60;403;"10%-20%";;;;;
25700000;-13,69;-50,8;92300;"Bandeirantes";2025-09-12 19:00:00;2025-09-12 18:00:00;2025-09-12 17:00:00;310;0;-4;-10;-15;0;0;"ARAGUAIA";;;"1983";380;317;446;"Mínima-0%";;;;;
