"";"Chuva em 24 horas (mm)";"Chuva em 7 dias (mm)";"Chuva em 14 dias (mm)";"Chuva em 28 dias (mm)"
"sem_código_ALERTA_CPRM_PARAGUAI";1,85;11,18;36,86;72,5
"sem_código_ALERTA_CPRM_PARNAÍBA";5,29;24,9;53,71;194,97
"sem_código_ALERTA_CPRM_POMBA";0,53;2,47;46,93;134,22
"sem_código_ALERTA_CPRM_SAO_FRANCISCO";0,85;9,23;23,24;120,11
"sem_código_ALERTA_CPRM_TAQUARI";0,01;22,46;51,64;90,1
"sem_código_ALERTA_CPRM_URUGUAI";0,73;63,48;109,57;172,35
"sem_código_ALERTA_CPRM_VELHAS";0,13;5,51;21,86;91,61
"sem_código_ALERTA_CPRM_XÍNGU";7,13;39,72;68,38;219,41
"sem_código_Alto_Solimoes";7,63;28,11;78,39;149,84
"sem_código_Bacia_do_rio_Madeira";5,66;37,88;80,44;172,38
"sem_código_biomaPantanal";1,13;6,44;32,92;63,17
"sem_código_LIM_Semiarido_OFICIAL_POLIGONAL";3,05;20,63;36,74;144,14
"sem_código_Medio_baixo_Solimoes";5,94;51,45;93,7;208,46
"sem_código_portomurtinho_FB";1,5;7,49;29,43;60,15
"sem_código_REDE_Codigo_20";1,47;29,97;56,34;186,98
"sem_código_REDE_Codigo_21";1,75;48,64;84,22;189,87
"sem_código_REDE_Codigo_22";0,05;32,11;64,83;184,52
"sem_código_REDE_Codigo_23";11,03;29,25;50,58;216,9
"sem_código_REDE_Codigo_24";0,68;12,62;27,66;95,31
"sem_código_REDE_Codigo_25";0,07;9,28;22,11;103,01
"sem_código_REDE_Codigo_26";0,31;18,98;49,31;119,48
"sem_código_REDE_Codigo_27";17,98;45,75;72,3;160,55
"sem_código_REDE_Codigo_28";22,33;73,35;112,93;263,4
"sem_código_REDE_Codigo_29";13,93;67,66;131,97;292,97
"sem_código_REDE_Codigo_40";0,03;5;40,62;87,44
"sem_código_REDE_Codigo_41";0,11;5,84;23,43;96,47
"sem_código_REDE_Codigo_42";0,53;9,76;23,86;121,12
"sem_código_REDE_Codigo_43";0,84;22,06;59,51;136,14
"sem_código_REDE_Codigo_44";1,97;4,86;9,62;127,8
"sem_código_REDE_Codigo_45";0,26;6,1;19,05;112,49
"sem_código_REDE_Codigo_53";0,75;22,91;31,84;95,83
"sem_código_REDE_Codigo_54";0,17;19,54;24,76;125,4
"sem_código_REDE_Codigo_55";0,05;22,15;24,03;87,3
"sem_código_REDE_Codigo_56";0,92;14,25;31,23;110,52
"sem_código_REDE_Codigo_57";0,05;2,76;29,16;113,31
"sem_código_REDE_Codigo_58";4,79;6,82;59,86;144,65
"sem_código_REDE_Codigo_59";2,06;4,05;74,72;121,13
"sem_código_REDE_Codigo_60";4,86;30,49;62,46;106,52
"sem_código_REDE_Codigo_61";2,59;7,39;46,17;94,49
"sem_código_sureg-pa";0,35;41,09;75,55;122,98
